,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
91,Never Give Up,Stealing Eden,0.336,0.843,7,-3.463,1,0.0488,0.00012,0.000203,0.14,0.275,164.05,239213,4
92,Get Me Out,No Resolve,0.314,0.877,3,-3.207,0,0.0582,7.52e-05,0,0.0898,0.516,177.6,223923,4
93,Wouldn't You Rather,Alter Bridge,0.458,0.959,5,-5.32,1,0.0882,3.62e-06,0.863,0.105,0.217,107.983,229940,4
94,I Will Not Bow,Breaking Benjamin,0.533,0.955,8,-3.708,1,0.0653,0.000165,1.36e-05,0.38,0.55,107.984,216733,4
95,Metalingus,Alter Bridge,0.496,0.981,8,-3.268,1,0.108,9.33e-06,0,0.0958,0.163,109.905,259960,4
96,I Hate Everything About You,Three Days Grace,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,231480,4
97,Breath,Breaking Benjamin,0.347,0.868,5,-4.145,0,0.0467,0.00012,0.000273,0.0845,0.313,182.851,218467,4
98,Drunk,Dayseeker,0.514,0.7,3,-5.321,0,0.0597,0.328,0,0.17,0.154,129.969,220853,4
99,Crooked Soul,Dayseeker,0.459,0.99,5,-2.963,0,0.206,0.00149,0,0.0948,0.192,128.014,235013,4
100,Africa,TOTO,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
101,Plastic Love,Mariya Takeuchi,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517,294493,4
102,More Than a Feeling,Boston,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4
103,Reelin' In The Years,Steely Dan,0.523,0.758,2,-9.81,1,0.0403,0.133,0,0.0952,0.766,135.437,277267,4
104,Forget Me Nots,Patrice Rushen,0.912,0.534,6,-5.319,0,0.0366,0.139,0.102,0.0387,0.963,114.681,275813,4
105,I Wanna Be Your Lover,Prince,0.812,0.507,1,-8.825,0,0.0452,0.0399,0.0831,0.0671,0.729,114.832,347667,4
106,Lovely Day,Bill Withers,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,254560,4
107,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120,4
108,Never Too Much,Luther Vandross,0.734,0.586,2,-11.866,1,0.129,0.125,0,0.0367,0.762,109.933,230467,4
109,Touch Me,The Doors,0.425,0.903,1,-4.801,1,0.0732,0.405,0.0128,0.117,0.769,108.748,190253,4
110,Don't Stop Believin',Journey,0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,250987,4
111,Wonderwall - Remastered,Oasis,0.372,0.865,2,-4.918,1,0.0381,0.000453,0,0.234,0.478,174.53,258733,4
112,Rock With You - Single Version,Michael Jackson,0.8,0.711,1,-7.165,1,0.0344,0.0774,0.000153,0.0988,0.836,114.331,219907,4
